,channel,pedestal,pedestal_error,sigma,sigma_error
58,58,1674.1439669970891,0.01977197204648653,2.3559660515871657,0.015341323719773467
59,59,1664.0312405272402,0.0199111309053874,2.3335848337895944,0.012820665824348884
60,60,1664.2015725390463,0.020525015440150157,2.4841552975078853,0.013672017989515122
61,61,1681.8856284146418,0.017835755405537706,2.1682148643175685,0.013489824553370857
62,62,1656.1665647881593,0.018615886896247137,2.2597991845889256,0.014249069388108212
63,63,1686.131965255924,0.020719600303234487,2.5691818849955483,0.015232501780881251
64,64,1681.7138063128077,0.018859378024037938,2.359377832915635,0.013745616538524227
65,65,1677.6577519779828,0.018443591932304618,2.303922294728224,0.013023313850886675
66,66,1683.031040593586,0.021798721232015747,2.596433520773553,0.01795567290963266
67,67,1657.8611817424899,0.01987496175008856,2.365541225898961,0.015525118941632748
68,68,1647.037457347297,0.019772049268505267,2.3819231086413857,0.015453530384774273
69,69,1655.670734485488,0.020094308303159114,2.4736894535429323,0.014806653169834625
70,70,1685.9569015220882,0.01998436373657747,2.3911111844185444,0.015805035122116968
71,71,1654.0266989432455,0.018710237132626522,2.2373114946982935,0.014263093595935052
72,72,1670.8956440928634,0.021048109125074346,2.5474803333189255,0.01592899828512019
73,73,1668.388416748673,0.02047119121573035,2.396864270871354,0.01652427072114774
74,74,1689.963279368181,0.021597841838357827,2.4968591075541555,0.01746636864417776
75,75,1648.683267701306,0.021025477387991112,2.4694564682384206,0.015548686710445387
76,76,1651.4367852143478,0.022586166316943802,2.6431862158862365,0.01646950591588553
77,77,1635.7046911755797,0.018897714755001904,2.113163780642512,0.01536732014209401
78,78,1659.7922366665737,0.022535065158312037,2.5426387492370983,0.01627733744824778
79,79,1671.5043801535141,0.022315852345279257,2.564364124848187,0.016479150699892847
