,channel,pedestal,pedestal_error,sigma,sigma_error
102,102,1728.2149245577089,0.029780331107331866,3.5325322877835443,0.021478815119221333
103,103,1684.371373182177,0.02807123304579225,3.3081705792645595,0.02033659051703248
104,104,1692.2519424992593,0.0272677732636066,3.1787383289081466,0.019359493680144023
105,105,1673.1605571719883,0.028949807514476282,3.348863463055584,0.021116564003542868
106,106,1661.5343890968395,0.028237972801048256,3.2445658197121117,0.020087272715902042
107,107,1649.6380534976834,0.025512955747328633,2.9042845431875364,0.017890194851484673
108,108,1686.192000118337,0.030511558644835443,3.461379792288354,0.022196352650269473
109,109,1694.5084086212808,0.028384999979073917,3.190185911184915,0.02047445218601678
110,110,1685.7932157282157,0.027206227817044265,3.0154676024414133,0.01946304454793662
111,111,1698.6090291842352,0.028810997222330912,3.193127181190422,0.020922216219285333
112,112,1673.2522266184285,0.029649256823143646,3.3261696038945647,0.02113955926892378
113,113,1679.960742198292,0.025792979886805515,2.873178328337105,0.018420496878559636
114,114,1716.479450536861,0.027283987053850847,3.048317889926767,0.019649605645333326
115,115,1655.4732562665665,0.02990306716553118,3.364413845545449,0.02166445735132612
116,116,1644.4408598967523,0.02817172899734387,3.1685908149177395,0.020618896033877405
117,117,1660.81212247575,0.025614949219698833,2.8823905513034593,0.01873774863887295
118,118,1695.376928058028,0.028870638901623426,3.300006689576633,0.020773692562409345
119,119,1706.8251722215102,0.02581128258218342,2.951870719787192,0.018255603574481877
120,120,1672.8436252686772,0.028071843523473854,3.2480716547389457,0.020797108583816056
121,121,1704.8879288290161,0.02699328177226822,3.139712017497653,0.01989523449300598
122,122,1667.7106952767106,0.028208485225121177,3.2507135103928873,0.020391939186703005
123,123,1670.7264892293313,0.024140971159744114,2.832695081124778,0.017475059631071745
124,124,1682.1312618134734,0.025211042300249342,2.9705050101152097,0.018348234619071896
125,125,1706.8235049182217,0.02601582392740028,3.104847842906722,0.01898620697753936
126,126,1691.009849343532,0.025795141032445006,3.09283113632984,0.01855309548169308
127,127,1695.9643758194536,0.02651434298308313,3.205889043263108,0.01897269007826693
