,ch,gain,gain_err,intercept,intercept_err
68,68,3.5510929363365866,0.1844693730771192,0.2498125023108598,0.024980883547253398
69,69,3.7169948134819593,0.1837691091144324,-0.0832991091909084,0.00833262736073726
70,70,3.680933625353794,0.18199642687802675,-0.08328194398003493,0.00833261826341966
71,71,3.5308606596867014,0.1834415604826298,0.24984853354590802,0.02498089786669587
72,72,3.5370682925673314,0.1748136686343592,-0.08341328907497603,0.00833246254324302
73,73,3.570632053360989,0.18079847341441674,0.08329899577113078,0.0083325810927196
74,74,3.569040750686952,0.17634405161581682,-0.08336987254290312,0.00833252474227541
75,75,3.530036206212644,0.17874169724807687,0.08331560462248709,0.00833257366462603
76,76,3.510368048533877,0.17773414763557743,0.08332721365908882,0.0083325661152528
77,77,3.510368048533877,0.17773414763557743,0.08332721365908882,0.0083325661152528
